customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,age,age_categories,RFM_level,job_title,job_industry_category,wealth_segment,owns_car,tenure,address,postcode,state,property_valuation
1,Laraine,Medendorp,F,93,1953-10-12,67,Above 60,Can't Loose Them,Executive Secretary,Health,Mass Customer,Yes,11.0,060 Morning Avenue,2016,NSW,10
2,Eli,Bockman,M,81,1980-12-16,40,40 to 50,Needs Attention,Administrative Officer,Financial Services,Mass Customer,Yes,16.0,6 Meadow Vale Court,2153,NSW,10
4,Talbot,,M,33,1961-10-03,59,50 to 60,Require Activation,Untitled,IT,Mass Customer,No,7.0,0 Holy Cross Court,4211,QLD,9
5,Sheila-kathryn,Calton,F,56,1977-05-13,43,40 to 50,Can't Loose Them,Senior Editor,Untitled,Affluent Customer,Yes,8.0,17979 Del Mar Point,2448,NSW,4
6,Curr,Duckhouse,M,35,1966-09-16,54,50 to 60,Loyal,Untitled,Retail,High Net Worth,Yes,13.0,9 Oakridge Court,3216,VIC,9
7,Fina,Merali,F,6,1976-02-23,44,40 to 50,Require Activation,Untitled,Financial Services,Affluent Customer,Yes,11.0,4 Delaware Trail,2210,NSW,9
8,Rod,Inder,M,31,1962-03-30,58,50 to 60,Can't Loose Them,Media Manager I,Untitled,Mass Customer,No,7.0,49 Londonderry Lane,2650,NSW,4
9,Mala,Lind,F,97,1973-03-10,47,40 to 50,Loyal,Business Systems Development Analyst,Argiculture,Affluent Customer,Yes,8.0,97736 7th Trail,2023,NSW,12
11,Uriah,Bisatt,M,99,1954-04-30,66,Above 60,Loyal,Untitled,Property,Mass Customer,No,9.0,93405 Ludington Park,3044,VIC,8
12,Sawyere,Flattman,M,58,1994-07-21,26,20 to 30,Champions,Nuclear Power Engineer,Manufacturing,Mass Customer,No,8.0,44339 Golden Leaf Alley,4557,QLD,4
13,Gabriele,Norcross,M,38,1955-02-15,65,Above 60,Can't Loose Them,Developer I,Financial Services,High Net Worth,Yes,8.0,2 Sutherland Street,3799,VIC,6
14,Rayshell,Kitteman,F,85,1983-03-25,37,30 to 40,Needs Attention,Account Executive,Financial Services,Affluent Customer,No,6.0,9 Mcbride Trail,2760,NSW,8
15,Erroll,Radage,M,91,2000-07-13,20,20 to 30,Champions,Junior Executive,Manufacturing,Mass Customer,No,1.0,9861 New Castle Avenue,2428,NSW,9
