customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,age,job_title,job_industry_category,wealth_segment,owns_car,tenure
1,Laraine,Medendorp,F,93,1953-10-12,67,Executive Secretary,Health,Mass Customer,Yes,11.0
2,Eli,Bockman,M,81,1980-12-16,40,Administrative Officer,Financial Services,Mass Customer,Yes,16.0
3,Arlin,Dearle,M,61,1954-01-20,66,Recruiting Manager,Property,Mass Customer,Yes,15.0
4,Talbot,,M,33,1961-10-03,59,Untitled,IT,Mass Customer,No,7.0
5,Sheila-kathryn,Calton,F,56,1977-05-13,43,Senior Editor,Untitled,Affluent Customer,Yes,8.0
6,Curr,Duckhouse,M,35,1966-09-16,54,Untitled,Retail,High Net Worth,Yes,13.0
7,Fina,Merali,F,6,1976-02-23,44,Untitled,Financial Services,Affluent Customer,Yes,11.0
8,Rod,Inder,M,31,1962-03-30,58,Media Manager I,Untitled,Mass Customer,No,7.0
9,Mala,Lind,F,97,1973-03-10,47,Business Systems Development Analyst,Argiculture,Affluent Customer,Yes,8.0
10,Fiorenze,Birdall,F,49,1988-10-11,32,Senior Quality Engineer,Financial Services,Mass Customer,Yes,20.0
11,Uriah,Bisatt,M,99,1954-04-30,66,Untitled,Property,Mass Customer,No,9.0
12,Sawyere,Flattman,M,58,1994-07-21,26,Nuclear Power Engineer,Manufacturing,Mass Customer,No,8.0
13,Gabriele,Norcross,M,38,1955-02-15,65,Developer I,Financial Services,High Net Worth,Yes,8.0
14,Rayshell,Kitteman,F,85,1983-03-25,37,Account Executive,Financial Services,Affluent Customer,No,6.0
15,Erroll,Radage,M,91,2000-07-13,20,Junior Executive,Manufacturing,Mass Customer,No,1.0
16,Harlin,Parr,M,38,1977-02-27,43,Media Manager IV,Untitled,Mass Customer,Yes,18.0
17,Heath,Faraday,M,57,1962-03-19,58,Sales Associate,Untitled,Affluent Customer,Yes,15.0
18,Marjie,Neasham,F,79,1967-07-06,53,Professor,Untitled,Affluent Customer,No,11.0
19,Sorcha,Keyson,F,76,2001-04-15,19,Geological Engineer,Manufacturing,High Net Worth,No,1.0
20,Basile,Firth,M,72,1980-08-13,40,Project Manager,Manufacturing,Mass Customer,No,11.0
