first_name,last_name,gender,past_3_years_bike_related_purchases,cluster,DOB,age,age_categories,job_title,job_industry_category,wealth_segment,owns_car,tenure,address,postcode,state,property_valuation,Rank,Value
Chickie,Brister,M,86,2,1957-07-12,63,60 to 70,General Manager,Manufacturing,Mass Customer,Yes,14,45 Shopko Center,4500,QLD,6,1,1.71875
Morly,Genery,M,69,2,1970-03-22,50,50 to 60,Structural Engineer,Property,Mass Customer,No,16,14 Mccormick Park,2113,NSW,11,1,1.71875
Ardelis,Forrester,F,10,0,1974-08-28,46,40 to 50,Senior Cost Accountant,Financial Services,Affluent Customer,No,10,5 Colorado Crossing,3505,VIC,5,1,1.71875
Lucine,Stutt,F,64,0,1979-01-28,41,40 to 50,Account Representative III,Manufacturing,Affluent Customer,Yes,5,207 Annamark Plaza,4814,QLD,1,4,1.703125
Melinda,Hadlee,F,34,3,1965-09-21,55,50 to 60,Financial Analyst,Financial Services,Affluent Customer,No,19,115 Montana Place,2093,NSW,9,4,1.703125
Druci,Brandli,F,39,3,1951-04-29,69,60 to 70,Assistant Media Planner,Entertainment,High Net Worth,Yes,22,89105 Pearson Terrace,4075,QLD,7,6,1.671875
Rutledge,Hallt,M,23,3,1976-10-06,44,40 to 50,Compensation Analyst,Financial Services,Mass Customer,No,8,7 Nevada Crossing,2620,NSW,7,6,1.671875
Nancie,Vian,F,74,0,1972-12-27,48,40 to 50,Human Resources Assistant II,Retail,Mass Customer,Yes,10,85 Carioca Point,4814,QLD,5,8,1.65625
Duff,Karlowicz,M,50,1,1972-04-28,48,40 to 50,Speech Pathologist,Manufacturing,Mass Customer,Yes,5,717 West Drive,2200,NSW,10,8,1.65625
Barthel,Docket,M,72,0,1985-08-02,35,30 to 40,Accounting Assistant IV,IT,Mass Customer,Yes,17,80 Scofield Junction,4151,QLD,5,10,1.640625
Rockwell,Matson,M,94,1,1995-01-01,25,20 to 30,Programmer Analyst I,Retail,High Net Worth,No,3,3682 Crowley Point,4573,QLD,6,10,1.640625
Wheeler,Winward,M,48,1,1999-08-30,21,20 to 30,Environmental Specialist,Manufacturing,Mass Customer,No,10,3 Golden Leaf Point,3216,VIC,8,12,1.625
Olag,,M,60,1,1990-05-13,30,30 to 40,Human Resources Manager,Telecommunications,Mass Customer,No,9,0484 North Avenue,2032,NSW,11,13,1.609375
Melba,Spellacy,F,38,1,1976-12-09,44,40 to 50,VP Marketing,Health,Mass Customer,No,4,0591 Anzinger Circle,2232,NSW,10,14,1.59375
Mandie,Feares,F,32,3,1964-04-19,56,50 to 60,Clinical Specialist,Health,Mass Customer,No,10,39 Kedzie Pass,4053,QLD,8,14,1.59375
Dukie,Swire,M,88,2,1954-03-31,66,60 to 70,Untitled,Manufacturing,Affluent Customer,Yes,5,64 Granby Parkway,2500,NSW,8,16,1.5625
Marcelia,Monkleigh,F,61,1,1993-08-22,27,20 to 30,Associate Professor,Manufacturing,Mass Customer,Yes,4,610 Swallow Street,4051,QLD,6,17,1.546875
Winnifred,Beswetherick,F,83,2,1976-06-08,44,40 to 50,Actuary,Financial Services,Mass Customer,No,14,61 4th Street,3040,VIC,10,17,1.546875
Odilia,Quick,F,65,2,1938-11-09,82,Above 80,General Manager,Manufacturing,Affluent Customer,Yes,11,1550 Russell Way,2222,NSW,11,19,1.53125
Karly,Willavize,F,2,3,1954-08-12,66,60 to 70,Internal Auditor,Manufacturing,High Net Worth,No,12,193 North Point,2190,NSW,10,19,1.53125
Teddie,Burchill,M,11,3,1968-12-21,52,50 to 60,Programmer I,Manufacturing,Mass Customer,Yes,13,321 Raven Plaza,2161,NSW,9,21,1.515625
Gaston,Dallaghan,M,44,1,1993-09-29,27,20 to 30,Financial Analyst,Financial Services,Mass Customer,Yes,8,656 Fuller Street,2783,NSW,7,21,1.515625
Otis,Ottey,M,26,1,1998-02-05,22,20 to 30,Quality Engineer,Untitled,Mass Customer,No,3,1562 Merchant Street,4744,QLD,4,23,1.5
Tabbatha,Averill,F,5,3,1977-12-17,43,40 to 50,Quality Control Specialist,Untitled,Affluent Customer,Yes,13,663 8th Parkway,2257,NSW,8,23,1.5
Brena,Schnitter,F,78,1,1982-10-11,38,30 to 40,Account Executive,Manufacturing,Mass Customer,No,4,67 Shelley Street,4703,QLD,5,25,1.484375
Rourke,Gillbard,M,11,0,1945-08-03,75,70 to 80,Untitled,Property,Mass Customer,No,17,75 Cordelia Trail,4817,QLD,4,26,1.46875
Dyane,Burwell,F,19,0,1952-06-27,68,60 to 70,Engineer II,Retail,Mass Customer,Yes,7,51 Hooker Court,2640,NSW,2,26,1.46875
